,Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
25311,2018-07-01 00:00:00,1473.84094238281,8.06948375701904,1570.03476150611,242.697204589843
25312,2018-07-01 00:10:00,1428.65197753906,8.14485454559326,1614.00782899864,244.89599609375
25313,2018-07-01 00:20:00,1346.49499511718,7.92368078231811,1486.59934580559,244.389999389648
25314,2018-07-01 00:30:00,1273.41796875,7.93981313705444,1495.7207738533,243.602600097656
25315,2018-07-01 00:40:00,1502.30505371093,8.22244930267333,1659.8403223482,245.853103637695
25316,2018-07-01 00:50:00,1625.06896972656,8.46450233459472,1806.14942240269,248.505706787109
25317,2018-07-01 01:00:00,1736.47595214843,8.80661010742187,2020.14500866429,247.89680480957
25318,2018-07-01 01:10:00,1708.89196777343,8.84126853942871,2042.20939330776,246.242706298828
25319,2018-07-01 01:20:00,1354.01098632812,7.99604177474975,1527.73079731675,245.362396240234
25320,2018-07-01 01:30:00,1427.30505371093,8.11866474151611,1598.6656858395,245.995498657226
25321,2018-07-01 01:40:00,1351.01904296875,7.9796872138977,1518.38592109337,244.155807495117
25322,2018-07-01 01:50:00,1530.76403808593,8.34580135345458,1733.80044575239,244.443496704101
25323,2018-07-01 02:00:00,1548.10302734375,8.433931350708,1787.41187588204,243.354293823242
25324,2018-07-01 02:10:00,1051.76599121093,7.40396404266357,1208.7378814518,237.431396484375
25325,2018-07-01 02:20:00,1094.55395507812,7.54817104339599,1282.85196539421,237.68440246582
25326,2018-07-01 02:30:00,1176.71301269531,7.6766037940979,1350.5997949242,241.571792602539
25327,2018-07-01 02:40:00,899.143920898437,7.11996698379516,1070.9205175167,240.575103759765
25328,2018-07-01 02:50:00,878.082275390625,7.10213184356689,1062.63520751724,237.312896728515
25329,2018-07-01 03:00:00,803.644287109375,6.81759595870971,935.947697433237,240.650604248046
25330,2018-07-01 03:10:00,671.501586914062,6.49703407287597,804.8312307494,241.00340270996
25331,2018-07-01 03:20:00,716.030883789062,6.66824388504028,873.389976251782,235.89109802246
25332,2018-07-01 03:30:00,911.847229003906,7.08417701721191,1054.33662778922,238.559295654296
25333,2018-07-01 03:40:00,897.501892089843,7.04260778427124,1035.28511264946,243.839599609375
25334,2018-07-01 03:50:00,899.858703613281,7.07456111907958,1049.909601925,241.930404663085
25335,2018-07-01 04:00:00,959.126220703125,7.21570110321044,1116.12196456868,245.524795532226
25336,2018-07-01 04:10:00,884.040283203125,7.14121294021606,1080.84540673095,248.361694335937
25337,2018-07-01 04:20:00,776.629272460937,6.87593793869018,961.104474061935,250.101104736328
25338,2018-07-01 04:30:00,694.006225585937,6.59542417526245,843.825635931653,246.806106567382
25339,2018-07-01 04:40:00,589.520385742187,6.34615278244018,747.114382943055,252.351898193359
25340,2018-07-01 04:50:00,410.957305908203,5.74812793731689,543.291974826102,254.196105957031
25341,2018-07-01 05:00:00,254.101806640625,5.10824012756347,363.042584016467,256.513305664062
25342,2018-07-01 05:10:00,91.751220703125,4.07056999206542,136.213885349279,253.423599243164
25343,2018-07-01 05:20:00,11.3281898498535,3.38459706306457,40.1402980914982,249.242797851562
25344,2018-07-01 05:30:00,0.0,2.52580189704895,0.0,248.923400878906
25345,2018-07-01 05:40:00,0.0,2.73970198631286,0.0,244.13540649414
25346,2018-07-01 05:50:00,0.0,2.51656007766723,0.0,258.489593505859
25347,2018-07-01 06:00:00,0.0,2.00728297233581,0.0,258.633209228515
25348,2018-07-01 06:10:00,0.0,1.51985394954681,0.0,262.572814941406
25349,2018-07-01 06:20:00,0.0,1.46881794929504,0.0,291.330291748046
25350,2018-07-01 06:30:00,0.0,2.88083291053771,0.0,319.183288574218
25351,2018-07-01 06:40:00,0.0,3.00814700126647,16.2660139308982,328.303192138671
25352,2018-07-01 06:50:00,0.0,2.36942100524902,0.0,330.241302490234
25353,2018-07-01 07:00:00,0.0,2.6365430355072,0.0,333.984497070312
25354,2018-07-01 07:10:00,0.0,2.27824091911315,0.0,332.290588378906
25355,2018-07-01 07:20:00,0.0,2.77014398574829,0.0,323.553588867187
25356,2018-07-01 07:30:00,0.0,2.74329209327697,0.0,330.653411865234
25357,2018-07-01 07:40:00,0.0,2.2795341014862,0.0,321.631195068359
25358,2018-07-01 07:50:00,0.0,2.56324505805969,0.0,338.777191162109
